pid, cid, month, year, amountMNOK, amountMUSD, kBarrels,
1,NL,3,2016,2494.00,293.62,7863.39,
1,NL,3,2017,2906.00,341.92,6717.54,
1,NL,4,2015,3337.00,422.51,7342.93,
1,NL,4,2016,2924.00,355.29,8718.66,
1,NL,4,2017,3145.00,366.25,7021.69,
1,NL,5,2015,5511.00,729.55,11670.89,
1,NL,5,2016,2169.00,263.29,5731.22,
1,NL,5,2017,4486.00,526.34,10550.02,
1,NL,6,2015,7296.00,934.91,15248.82,
1,NL,6,2016,3350.00,402.93,8449.04,
1,NL,6,2017,2134.00,252.19,5462.12,
1,NL,7,2015,4048.00,498.52,9174.13,
1,NL,7,2016,4390.00,518.18,11742.07,
1,NL,7,2017,1827.00,223.68,4693.20,
1,NL,8,2014,9066.00,1461.32,14605.85,
1,NL,8,2015,4459.00,540.48,11829.39,
1,NL,8,2016,4845.00,582.82,12986.23,
1,NL,8,2017,2901.00,367.49,7358.72,
1,NL,9,2014,4831.00,762.11,7951.04,
1,NL,9,2015,4290.00,518.12,11195.25,
1,NL,9,2016,2068.00,251.80,5590.50,
1,NL,9,2017,3516.00,448.98,8479.41,
1,NL,10,2014,6746.00,1031.03,11977.53,
1,NL,10,2015,3804.00,459.92,9793.87,
1,NL,10,2016,2652.00,324.84,6590.40,
1,NL,10,2017,1786.00,223.42,4068.05,
1,NL,11,2014,4841.00,711.08,9235.94,
1,NL,11,2015,2625.00,304.00,7051.62,
1,NL,11,2016,5236.00,622.81,13760.81,
1,NL,11,2017,2788.00,340.58,5682.99,
1,NL,12,2014,4399.00,605.51,9975.38,
1,NL,12,2015,3748.00,431.05,11787.05,
1,NL,12,2016,6559.00,766.42,14565.13,
1,NL,12,2017,4923.00,591.14,9660.70,
1,PL,1,2015,0.00,0.00,0.00,
1,PL,1,2016,0.00,0.00,0.00,
1,PL,1,2017,0.00,0.00,0.00,
1,PL,2,2015,0.00,0.00,0.00,
1,PL,2,2016,0.00,0.00,0.00,
1,PL,2,2017,975.00,117.07,2154.09,
1,PL,3,2015,464.00,58.11,1099.92,
1,PL,3,2016,0.00,0.00,0.00,
1,PL,3,2017,0.00,0.00,0.00,
1,PL,4,2015,0.00,0.00,0.00,
1,PL,4,2016,0.00,0.00,0.00,
1,PL,4,2017,0.00,0.00,0.00,
1,PL,5,2015,0.00,0.00,0.00,
1,PL,5,2016,0.00,0.00,0.00,
1,PL,5,2017,0.00,0.00,0.00,
1,PL,6,2015,0.00,0.00,0.00,
1,PL,6,2016,0.00,0.00,0.00,
1,PL,6,2017,0.00,0.00,0.00,
1,PL,7,2015,363.00,44.70,822.68,
1,PL,7,2016,0.00,0.00,0.00,
1,PL,7,2017,108.00,13.22,277.43,
1,PL,8,2014,400.00,64.47,644.42,
1,PL,8,2015,317.00,38.42,840.98,
1,PL,8,2016,0.00,0.00,0.00,
1,PL,8,2017,0.00,0.00,0.00,
1,PL,9,2014,1186.00,187.10,1951.96,
1,PL,9,2015,0.00,0.00,0.00,
1,PL,9,2016,0.00,0.00,0.00,
1,PL,9,2017,0.00,0.00,0.00,
1,PL,10,2014,708.00,108.21,1257.05,
1,PL,10,2015,252.00,30.47,648.81,
1,PL,10,2016,246.00,30.13,611.33,
1,PL,10,2017,241.00,30.15,548.94,
1,PL,11,2014,0.00,0.00,0.00,
1,PL,11,2015,0.00,0.00,0.00,
1,PL,11,2016,0.00,0.00,0.00,
1,PL,11,2017,0.00,0.00,0.00,
1,PL,12,2014,0.00,0.00,0.00,
1,PL,12,2015,0.00,0.00,0.00,
1,PL,12,2016,0.00,0.00,0.00,
1,PL,12,2017,0.00,0.00,0.00,
1,PT,1,2015,0.00,0.00,0.00,
1,PT,1,2016,0.00,0.00,0.00,
1,PT,2,2015,0.00,0.00,0.00,
1,PT,2,2016,0.00,0.00,0.00,
1,PT,3,2015,0.00,0.00,0.00,
1,PT,3,2016,0.00,0.00,0.00,
1,PT,4,2015,0.00,0.00,0.00,
1,PT,4,2016,0.00,0.00,0.00,
1,PT,5,2015,0.00,0.00,0.00,
1,PT,5,2016,407.00,49.41,1075.43,
1,PT,6,2015,299.00,38.31,624.92,
1,PT,6,2016,0.00,0.00,0.00,
1,PT,7,2015,0.00,0.00,0.00,
1,PT,7,2016,0.00,0.00,0.00,
1,PT,8,2015,0.00,0.00,0.00,
1,PT,8,2016,0.00,0.00,0.00,
1,PT,9,2015,0.00,0.00,0.00,
1,PT,9,2016,0.00,0.00,0.00,
1,PT,10,2015,0.00,0.00,0.00,
1,PT,10,2016,0.00,0.00,0.00,
1,PT,11,2015,0.00,0.00,0.00,
1,PT,11,2016,0.00,0.00,0.00,
1,PT,12,2015,0.00,0.00,0.00,
